name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;678;0;978;3069;1461;3069;1346;0
header;175;119;175;149;1801;149;1801;119
A;976;178;976;206;996;206;996;178
A;1208;582;1208;582;1208;582;1208;582
A;1333;609;1333;620;1340;620;1340;609
B;1318;690;1318;708;1332;708;1332;690
B;981;860;981;886;1000;886;1000;860
B;1297;1004;1297;1018;1318;1018;1318;1004
B;1294;1057;1294;1076;1308;1076;1308;1057
B;1017;1382;1017;1400;1031;1400;1031;1382
C;980;1530;980;1557;1001;1557;1001;1530
D;988;2205;988;2233;1010;2233;1010;2205
A;951;2695;951;2696;951;2696;951;2695
