name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;907;0;907;3071;1548;3071;1154;0
header;67;201;67;241;1688;241;1688;201
A;1104;1234;1104;1234;1104;1234;1104;1234
B;1067;1284;1067;1303;1081;1303;1081;1284
A;910;1926;910;1942;918;1942;918;1926
B;1183;1974;1183;1989;1192;1989;1192;1974
A;1377;2386;1377;2402;1385;2402;1385;2386
B;1292;2423;1292;2438;1314;2438;1314;2423
B;1350;2433;1350;2448;1359;2448;1359;2433
B;1032;2914;1032;2930;1052;2930;1052;2914
B;1286;2915;1286;2931;1308;2931;1308;2915
B;1437;2924;1437;2942;1453;2942;1453;2924
